,image,hash0,hash1,hash2,task
66,42cb22499058b7ec0b2389db9ddd31a8_fbbe11bc5b51e78c2e1691a9233ed9bc_83f17a9d4f631965f0beb7f856b5560a.png,42cb22499058b7ec0b2389db9ddd31a8,fbbe11bc5b51e78c2e1691a9233ed9bc,83f17a9d4f631965f0beb7f856b5560a,clip
67,1e91feff068553fe39e041fa2f40df87_bd2ef2195e70f0246167f8416cb6e0f4_dec6f230dcb67b90b1879e2b694979e3.png,1e91feff068553fe39e041fa2f40df87,bd2ef2195e70f0246167f8416cb6e0f4,dec6f230dcb67b90b1879e2b694979e3,clip
68,339e731e7f97e7259064537b9d0f5d51_1e91feff068553fe39e041fa2f40df87_bd2ef2195e70f0246167f8416cb6e0f4.png,339e731e7f97e7259064537b9d0f5d51,1e91feff068553fe39e041fa2f40df87,bd2ef2195e70f0246167f8416cb6e0f4,clip
69,98314471f09fae527dd8e8e5ac78d624_2b34916426042926abd4d489739b4b80_6b8b3c2a604822fa37ecb674c0268422.png,98314471f09fae527dd8e8e5ac78d624,2b34916426042926abd4d489739b4b80,6b8b3c2a604822fa37ecb674c0268422,clip
70,2b1212a0889a8527745f2e392d66593e_8657ad0d07df68657ecda6047b1e64e9_544fc555ed0ca1f5fa515591fd3b77fc.png,2b1212a0889a8527745f2e392d66593e,8657ad0d07df68657ecda6047b1e64e9,544fc555ed0ca1f5fa515591fd3b77fc,clip
71,16a1698a22cb0e72838692a3d716ff0d_8a22015fc4036c6f4bd5ea26328e528f_9bd5fdc34d6ab45bc8e744de06ae299c.png,16a1698a22cb0e72838692a3d716ff0d,8a22015fc4036c6f4bd5ea26328e528f,9bd5fdc34d6ab45bc8e744de06ae299c,clip
72,5d461826ffd5445900a85dfd18c33a06_5de41dfdfffaccc89414182f04b67098_34c8e8c18ec4e8e7feb8aa86e73c60d8.png,5d461826ffd5445900a85dfd18c33a06,5de41dfdfffaccc89414182f04b67098,34c8e8c18ec4e8e7feb8aa86e73c60d8,clip
73,078276375957f2e2a3ac4c323413b488_a84ece4cf8de5df3fdc150de00b17d89_c0c3d1c0fd5139309d58124426c4f0f8.png,078276375957f2e2a3ac4c323413b488,a84ece4cf8de5df3fdc150de00b17d89,c0c3d1c0fd5139309d58124426c4f0f8,clip
74,1a19962742c409ed6817bd9fbddfa06c_bb425059c92af3d8a89b00e5437ae8ec_7458746c17932dd8f5fe18394dd36d62.png,1a19962742c409ed6817bd9fbddfa06c,bb425059c92af3d8a89b00e5437ae8ec,7458746c17932dd8f5fe18394dd36d62,clip
75,5f3a617c42cd44aa9683be80ac7f84c5_7b1bace2c26cfb76e5b753771c51815c_1e5477236f43197b19667709ff2505bb.png,5f3a617c42cd44aa9683be80ac7f84c5,7b1bace2c26cfb76e5b753771c51815c,1e5477236f43197b19667709ff2505bb,clip
76,be15c68d0a98b74a4b030845dd8d46e5_d47af53593003405d8907f8d2e177b80_14a02ef2c7e6d3be75fc640cfaf071b6.png,be15c68d0a98b74a4b030845dd8d46e5,d47af53593003405d8907f8d2e177b80,14a02ef2c7e6d3be75fc640cfaf071b6,clip
77,784ab2e38cf60171fe48e6cfdabf0f1a_2d0e4c2a3b41c7f047706d3e1ac2e926_011771837fcb7adbfacb7dfb0ee034b6.png,784ab2e38cf60171fe48e6cfdabf0f1a,2d0e4c2a3b41c7f047706d3e1ac2e926,011771837fcb7adbfacb7dfb0ee034b6,clip
78,d125600d93d5c64f63808b7b36b8a303_d72d23b421aeb6d89579be7e7d2b144a_0baa3c348587728ee3cdcb2a51d0c9d5.png,d125600d93d5c64f63808b7b36b8a303,d72d23b421aeb6d89579be7e7d2b144a,0baa3c348587728ee3cdcb2a51d0c9d5,clip
79,40c42a09c85ab5f9139ba3b3ea0c9fe9_1eb052bc500e6f1eee8dc5dfc6f297c1_3b17400f7351effc02720622b9276a02.png,40c42a09c85ab5f9139ba3b3ea0c9fe9,1eb052bc500e6f1eee8dc5dfc6f297c1,3b17400f7351effc02720622b9276a02,clip
80,b5f4f1b2fb8a7cbca8406384b960a068_918567e1638274d7710d2caf930190d5_b93967a3c4a484615ec445291fed9372.png,b5f4f1b2fb8a7cbca8406384b960a068,918567e1638274d7710d2caf930190d5,b93967a3c4a484615ec445291fed9372,clip
81,c36af9b05ee1183a93f45ce1752d1005_756e5f1413fae9f26662f41f7e710353_a8ec5c4e39d18bf4fca8b882e6e4902e.png,c36af9b05ee1183a93f45ce1752d1005,756e5f1413fae9f26662f41f7e710353,a8ec5c4e39d18bf4fca8b882e6e4902e,clip
82,8f079c0b5272c4346bffac8250bad192_2dd12104c2f068856c0f2757b32fbecc_e72c0e5e8d31bdbe62d5d6b1d4fff759.png,8f079c0b5272c4346bffac8250bad192,2dd12104c2f068856c0f2757b32fbecc,e72c0e5e8d31bdbe62d5d6b1d4fff759,clip
83,2b9460d85c81589e82081ee523b178a2_b56430cb0acaa3adb8dee1ac0c9b2faf_dae177895be892ccc1c5e6273b289dbd.png,2b9460d85c81589e82081ee523b178a2,b56430cb0acaa3adb8dee1ac0c9b2faf,dae177895be892ccc1c5e6273b289dbd,clip
84,b7f8609a67bcb9c03814d4a2b95934f3_5d47bfcd273c1ae3fc354f620a83b4f9_b9a1b344dbe38adb1133104125419b5e.png,b7f8609a67bcb9c03814d4a2b95934f3,5d47bfcd273c1ae3fc354f620a83b4f9,b9a1b344dbe38adb1133104125419b5e,clip
85,a5a5351233cedb5b15dcf3aac348d07d_2456dad6d334ead412570449015141d7_427e186db353111086095a0058cda9cb.png,a5a5351233cedb5b15dcf3aac348d07d,2456dad6d334ead412570449015141d7,427e186db353111086095a0058cda9cb,clip
86,0a8b7de8c705fa3a50dc6d5d7ce8f57d_a3a938db1606545204b9ecdb5c68f241_d65d3626a49ff1f2f391040e339ae407.png,0a8b7de8c705fa3a50dc6d5d7ce8f57d,a3a938db1606545204b9ecdb5c68f241,d65d3626a49ff1f2f391040e339ae407,clip
87,d9e377cf713b71cc70086251d609c66d_e4c654214f690282e91f4775ac2389e8_035aeeb7d065bb2d419e1a35abe2dbcb.png,d9e377cf713b71cc70086251d609c66d,e4c654214f690282e91f4775ac2389e8,035aeeb7d065bb2d419e1a35abe2dbcb,clip
88,5e5e01b1f23ce5e803db5040eda76579_bbc6d100f377e082097123fb521ae02d_af460996e0fee5ccf991c74773dd06fc.png,5e5e01b1f23ce5e803db5040eda76579,bbc6d100f377e082097123fb521ae02d,af460996e0fee5ccf991c74773dd06fc,clip
89,e4a6955b71f8c11729ccc40b782236e7_998d5bc870c88c2ee26b3948d4888a4e_0a5f71d7f4a7c1a99c094c75b7ceec9f.png,e4a6955b71f8c11729ccc40b782236e7,998d5bc870c88c2ee26b3948d4888a4e,0a5f71d7f4a7c1a99c094c75b7ceec9f,clip
90,6f0687ee241a7c288c876e7cd742e0be_e01ef3f2c7b37859abd0b702e5e58947_23a18db8bf04b876f85d1eeb3e584015.png,6f0687ee241a7c288c876e7cd742e0be,e01ef3f2c7b37859abd0b702e5e58947,23a18db8bf04b876f85d1eeb3e584015,clip
91,3707e04bc531709600314a0eb8177bd0_16ba5198c085d9a8b45fa471d6c690cf_aaa10b40995bdb4e64c7d0fba16b6cdb.png,3707e04bc531709600314a0eb8177bd0,16ba5198c085d9a8b45fa471d6c690cf,aaa10b40995bdb4e64c7d0fba16b6cdb,clip
92,ab63258f83bfdfdd19d0079eb16bead0_a2d62c58370511cdbf495df124546e39_9c54e4897e7d8bb2c02e66d1a82cd4a6.png,ab63258f83bfdfdd19d0079eb16bead0,a2d62c58370511cdbf495df124546e39,9c54e4897e7d8bb2c02e66d1a82cd4a6,clip
93,b66b40f5f9e4004fa9abd0058a3c3c42_3a842b527afa1254ba05bac7c1f6eff4_d12bece71ef87c16e73bbb640021e791.png,b66b40f5f9e4004fa9abd0058a3c3c42,3a842b527afa1254ba05bac7c1f6eff4,d12bece71ef87c16e73bbb640021e791,clip
94,2d9869c067a42304122d436c6df53b7d_2cf2da681bfecd1a27ac3d3062834fa8_262779081872289450edf3c17801a930.png,2d9869c067a42304122d436c6df53b7d,2cf2da681bfecd1a27ac3d3062834fa8,262779081872289450edf3c17801a930,clip
95,8a6c203291ba4f921324d1a4e1383550_e8fd2ad23d3fdfeaa48da512a2412466_a1454877c1e886e312a988e2d5c73ddc.png,8a6c203291ba4f921324d1a4e1383550,e8fd2ad23d3fdfeaa48da512a2412466,a1454877c1e886e312a988e2d5c73ddc,clip
96,506791aae2035b74f600360da46afc13_f2f6521263c5087b580e06879c709a9d_3382b1c28077c1dda69a8ff82402cf22.png,506791aae2035b74f600360da46afc13,f2f6521263c5087b580e06879c709a9d,3382b1c28077c1dda69a8ff82402cf22,clip
97,ce9e2f6bc09e071ce578cde48fb4d8d7_f70baac8660d3d4282414ff3513e842c_eb2e57b09fe4aae24303369cbaead4ef.png,ce9e2f6bc09e071ce578cde48fb4d8d7,f70baac8660d3d4282414ff3513e842c,eb2e57b09fe4aae24303369cbaead4ef,clip
98,1e91feff068553fe39e041fa2f40df87_8baae8234b02d0eb6ad3a0d2cc50d8c0_bd2ef2195e70f0246167f8416cb6e0f4.png,1e91feff068553fe39e041fa2f40df87,8baae8234b02d0eb6ad3a0d2cc50d8c0,bd2ef2195e70f0246167f8416cb6e0f4,clip
